#columns (so you dont have to count them when you plot!
#1=MJD
#2-4=nH, upper limit, lower limit
#5-7=Inner disk temperature, upper limit, lower limit
#8-10=Disk Normalisation, upper limit, lower limit
#11-13=PL index, upper limit, lower limit
#14-16=PL Normalisation, upper limit, lower limit
#17-19=Absorbed 0.6-10 keV flux, upper limit, lower limit
#20-22=Unabsorbed 0.6-10 keV flux, upper limit, lower limit (log10)
#23-25=0.6-10 keV flux of the PL component , upper limit, lower limit (log10)
#26=chi2
#27=degrees of freedom
#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	absflux(0.6-10keV)	absflux_UL	absflux_LL	unabsflux(0.6-10keV_log10)	unabsflux_UL	unabsflux_LL	PLflux(0.6-10keV_log10)	PLfl_UL	PLfl_LL	chi2	dof
57141.0528751	0.525747	0.572827	0.462624	0.333026	0.378074	0.301548	2156.3	4962.74	786.086	4.43822	4.57947	4.24222	1.0401	1.21857	0.816251	8.82263e-10	8.81612e-10	8.25387e-10	-8.57486	-8.52224	-8.64433	-8.62471	-8.55004	-8.73734	274.087	236
57143.5980326	0.570006	0.617092	0.519355	0.406644	0.465642	0.355884	712.451	1657.2	308.021	4.66248	4.86751	4.49279	1.1436	1.29232	0.976017	8.59735e-10	8.57643e-10	8.09223e-10	-8.53317	-8.4791	-8.59004	-8.57217	-8.50935	-8.64866	197.585	203
57145.3093452	0.557604	0.60892	0.494309	0.352893	0.387387	0.325854	2290.59	4203.78	1174.82	4.59787	4.7679	4.40129	1.0355	1.22181	0.82072	8.71798e-10	8.72316e-10	8.39948e-10	-8.55075	-8.49267	-8.62086	-8.6192	-8.53842	-8.72887	245.793	222
57147.0400899	0.601859	0.659762	0.533674	0.365483	0.414565	0.325987	1643.51	3649.69	720.063	4.7672	4.99726	4.54539	1.12176	1.32204	0.890145	8.2511e-10	8.26829e-10	7.57117e-10	-8.5207	-8.45316	-8.59836	-8.57422	-8.49007	-8.68627	194.377	196
57151.435926	0.520668	0.615998	0.347199	0.332397	0.376465	0.303473	3986.07	8438.42	1560.64	4.56145	4.88759	3.95189	0.871903	1.20395	0.388482	8.57914e-10	8.58953e-10	7.65794e-10	-8.59417	-8.48588	-8.77705	-8.6954	-8.53868	-9.06353	164.798	167
57153.9053908	0.587674	0.636317	0.523097	0.352575	0.411185	0.310208	1585.3	4256.86	516.544	4.5587	4.71131	4.3702	1.24819	1.44516	0.998678	9.19961e-10	9.25444e-10	8.41703e-10	-8.49955	-8.44597	-8.56908	-8.53962	-8.4693	-8.64502	196.11	221
57155.4280604	0.203937	0.433415	0.148819	0.317429	0.334529	0.293888	6578.51	8514.6	5230.83	3.05385	4.20731	2.36536	0.103333	0.518329	0.0362551	6.60295e-10	6.58365e-10	6.2142e-10	-9.0223	-8.80293	-9.06666	-9.5919	-8.93669	-9.91274	217.102	190
57157.1516041	0.47866	0.555723	0.168189	0.317686	0.354712	0.29648	4177.66	8801.32	1542.63	4.20145	4.43811	2.37794	0.810508	1.0829	0.157816	8.68918e-10	8.70867e-10	8.34315e-10	-8.64674	-8.5631	-8.8773	-8.74281	-8.6079	-9.62872	246.9	224
57159.5561598	0.579897	0.634467	0.502901	0.323017	0.369128	0.292939	2851.72	6730.14	938.394	4.45603	4.6157	4.21613	1.10786	1.33237	0.818671	8.67559e-10	8.66093e-10	8.06651e-10	-8.54355	-8.48246	-8.62808	-8.59674	-8.50933	-8.73678	245.673	225
57163.471893	0.56788	0.616956	0.507096	0.351498	0.391951	0.318889	1832.04	3769.87	857.831	4.70122	4.87639	4.50761	1.02337	1.18935	0.826517	7.99058e-10	7.9977e-10	7.45296e-10	-8.5637	-8.50698	-8.63274	-8.61749	-8.54351	-8.72061	223.812	215
57165.677412	0.581661	0.651218	0.495145	0.355709	0.40921	0.312225	1819.25	4572.89	720.376	4.84238	5.14167	4.55366	1.0411	1.26144	0.771703	7.86799e-10	7.87558e-10	7.0211e-10	-8.54631	-8.46366	-8.6459	-8.60006	-8.50088	-8.74784	180.161	171
