#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	flux	flux_UL	flux_LL	chi2	dof
57096.4707848	0.64506	0.663057	0.627279	NaN	NaN	NaN	NaN	NaN	NaN	4.45007	4.50021	4.40084	1.83105	1.89884	1.7662	1.10364e-09	1.10944e-09	1.09844e-09	320.381	252
57098.1456714	0.596872	0.639418	0.544445	0.371257	0.407599	0.342254	1988.07	3707.88	1013.04	4.37825	4.50616	4.22393	1.41368	1.62109	1.17038	1.13052e-09	1.13301e-09	1.08537e-09	324.124	260
57104.5286785	0.549639	0.610986	0.465987	0.374463	0.43542	0.330552	1700.92	4322.22	598.502	4.36531	4.56207	4.11826	1.26776	1.52779	0.937736	1.08767e-09	1.09421e-09	9.73053e-10	197.337	201
57106.9886455	0.506322	0.555003	0.446217	0.362212	0.39179	0.339258	2522.27	4212.96	1414.92	4.34069	4.49177	4.15499	1.07302	1.26961	0.848446	1.06337e-09	1.06256e-09	1.03536e-09	240.229	249
57108.7960466	0.717727	0.735782	0.699859	NaN	NaN	NaN	NaN	NaN	NaN	4.64748	4.69725	4.59853	2.12028	2.19824	2.04562	1.09355e-09	1.09969e-09	1.08825e-09	351.262	246
57110.2445187	0.615926	0.670108	0.557583	0.406525	0.432675	0.382196	1837.52	2716.41	1258.32	4.74726	4.9678	4.54894	1.27888	1.48803	1.0585	1.05153e-09	1.05358e-09	1.0239e-09	225.378	232
57112.5837917	0.692333	0.710927	0.673926	NaN	NaN	NaN	NaN	NaN	NaN	4.67341	4.72551	4.62217	2.00915	2.08572	1.93587	1.06844e-09	1.07473e-09	1.06174e-09	329.035	232
57114.5718335	0.654183	0.710631	0.606331	0.447486	0.472464	0.420081	913.217	1270.52	670.848	5.11306	5.41281	4.89817	1.51901	1.70659	1.34888	1.0325e-09	1.03638e-09	1.01909e-09	221.036	235
57135.1375298	0.556615	0.608005	0.4636	0.331129	0.41438	0.28581	2167.78	7412.77	381.887	4.46316	4.65288	4.17015	1.17472	1.43201	0.813329	9.26472e-10	9.2371e-10	8.49928e-10	181.581	203
57137.1477316	0.56066	0.639941	0.446231	0.368352	0.419969	0.332394	2258.4	4966.84	905.995	4.38171	4.64891	4.01772	1.01337	1.30888	0.637238	9.29437e-10	9.28282e-10	8.45844e-10	174.535	184
57139.6652916	0.557349	0.599287	0.503794	0.348729	0.407152	0.306245	1353	3642.68	432.488	4.58716	4.7243	4.42469	1.15266	1.31273	0.954351	8.71272e-10	8.71331e-10	8.17783e-10	249.131	222
57141.0528751	0.525747	0.572827	0.462624	0.333026	0.378074	0.301548	2156.3	4962.74	786.086	4.43822	4.57947	4.24222	1.0401	1.21857	0.816251	8.82263e-10	8.80762e-10	8.39996e-10	274.087	236
57143.5980326	0.570006	0.617092	0.519355	0.406644	0.465642	0.355884	712.451	1657.2	308.021	4.66248	4.86751	4.49279	1.1436	1.29232	0.976017	8.59735e-10	8.58702e-10	8.18112e-10	197.585	203
57145.3093452	0.557604	0.60892	0.494309	0.352893	0.387387	0.325854	2290.59	4203.78	1174.82	4.59787	4.7679	4.40129	1.0355	1.22181	0.82072	8.71798e-10	8.72368e-10	8.33308e-10	245.793	222
57147.0400899	0.601859	0.659762	0.533674	0.365483	0.414565	0.325987	1643.51	3649.69	720.063	4.7672	4.99726	4.54539	1.12176	1.32204	0.890145	8.2511e-10	8.244e-10	7.48053e-10	194.377	196
